Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11; skipping analysis
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:58 voag uv[798833]: 06:50:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 15 entries (60s elapsed)
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | INFO    | api.routes.batch | Updated batch entry 1a1be6eb-3e81-4f57-ad4d-d1fb1d07163a to status=completed
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=864, failed=0, done_entries=864
Feb 14 06:51:13 voag uv[798833]: INFO:     127.0.0.1:58932 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | INFO    | api.routes.analysis | Analysis request received for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: INFO:     127.0.0.1:58944 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.018s)
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.019s)
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986; skipping analysis
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:51:13+04:00
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | INFO    | db.storage.leads | Assigned lead e3462f83-5875-4681-80e4-a07882689600 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:13 voag uv[798833]: 06:51:13 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=b9a96f75-4c1d-48d9-8ce6-f0f4a98e5986
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | INFO    | api.routes.batch | Updated batch entry cb591475-d489-4141-9dc3-7652841ae411 to status=completed
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=865, failed=0, done_entries=865
Feb 14 06:51:25 voag uv[798833]: INFO:     127.0.0.1:52994 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:25 voag uv[798833]: INFO:     127.0.0.1:53004 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | INFO    | api.routes.analysis | Analysis request received for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.018s)
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.018s)
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:25 voag uv[798833]: 06:51:25 | WARNING | analysis.merged_analytics | Insufficient user text for sentiment analysis
Feb 14 06:51:28 voag uv[798833]: 06:51:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 13 entries (90s elapsed)
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | INFO    | api.routes.batch | Updated batch entry 0538a896-2316-4902-a1c7-5d1f7d510f30 to status=completed
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=866, failed=0, done_entries=866
Feb 14 06:51:29 voag uv[798833]: INFO:     127.0.0.1:52752 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:29 voag uv[798833]: INFO:     127.0.0.1:52768 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | INFO    | api.routes.analysis | Analysis request received for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.023s)
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.022s)
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:29 voag uv[798833]: 06:51:29 | WARNING | analysis.merged_analytics | Insufficient user text for sentiment analysis
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | INFO    | api.routes.batch | Updated batch entry a34c957b-4921-461a-b005-a2fa809f8ceb to status=completed
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=867, failed=0, done_entries=867
Feb 14 06:51:42 voag uv[798833]: INFO:     127.0.0.1:38404 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.015s)
Feb 14 06:51:42 voag uv[798833]: INFO:     127.0.0.1:38414 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | INFO    | api.routes.analysis | Analysis request received for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.003s)
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842; skipping analysis
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call 017fecaf-60c1-4dac-b7da-cd9b13fe4842 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:51:42+04:00
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | INFO    | db.storage.leads | Assigned lead 54b6136b-d03e-4180-afcb-1c741435ea6c to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:42 voag uv[798833]: 06:51:42 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=017fecaf-60c1-4dac-b7da-cd9b13fe4842
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | INFO    | api.routes.batch | Updated batch entry 6c93ad8f-01e4-4884-976b-ec5769220a2d to status=completed
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=868, failed=0, done_entries=868
Feb 14 06:51:43 voag uv[798833]: INFO:     127.0.0.1:38424 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:43 voag uv[798833]: INFO:     127.0.0.1:38436 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | INFO    | api.routes.analysis | Analysis request received for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.014s)
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603; skipping analysis
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.015s)
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call 93c8aeef-5b05-449a-8208-332f6e17b603 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:51:43+04:00
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | INFO    | db.storage.leads | Assigned lead 066c9875-3f86-470d-98bb-bc63b1c9516f to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:43 voag uv[798833]: 06:51:43 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=93c8aeef-5b05-449a-8208-332f6e17b603
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | INFO    | api.routes.batch | Updated batch entry a1499eea-e60d-4c5b-9afa-eac9ff780c66 to status=completed
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=869, failed=0, done_entries=869
Feb 14 06:51:44 voag uv[798833]: INFO:     127.0.0.1:38446 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:51:44 voag uv[798833]: INFO:     127.0.0.1:38456 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | INFO    | api.routes.analysis | Analysis request received for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.019s)
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.019s)
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2; skipping analysis
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call a383eec5-4487-4f72-9040-6f2908ed94f2 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:51:44+04:00
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | INFO    | db.storage.leads | Assigned lead 7e6168f5-cc0c-4aef-8d94-eb17462e8e48 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:44 voag uv[798833]: 06:51:44 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=a383eec5-4487-4f72-9040-6f2908ed94f2
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | INFO    | utils.vertical_routing | Vertical routing: tenant_id=734cd516-e252-4728-9c52-4663ee552653, vertical=realestate
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | INFO    | utils.vertical_routing | Realestate vertical detected but not yet implemented
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | post_call_analysis.runner | Vertical routing: call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8 not routed (vertical=realestate, reason=Realestate vertical not yet implemented)
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | api.routes.analysis | Post-call analysis completed successfully for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:45 voag uv[798833]: 06:51:45 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:46 voag uv[798833]: 06:51:46 | WARNING | analysis.lead_bookings_extractor | No explicit confirmed time found after all extraction attempts for call 1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:46 voag uv[798833]: 06:51:46 | WARNING | analysis.schedule_calculator | Callback requested but no callback_time provided - will use Stage 2 grade-based schedule
Feb 14 06:51:46 voag uv[798833]: 06:51:46 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | INFO    | db.storage.leads | Assigned lead 404bc6e1-afd7-463a-9ec7-c9964c1600a3 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=1976cc23-81ba-434b-acd8-a68ea55247b8
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | INFO    | utils.vertical_routing | Vertical routing: tenant_id=734cd516-e252-4728-9c52-4663ee552653, vertical=realestate
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | INFO    | utils.vertical_routing | Realestate vertical detected but not yet implemented
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | post_call_analysis.runner | Vertical routing: call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281 not routed (vertical=realestate, reason=Realestate vertical not yet implemented)
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | api.routes.analysis | Post-call analysis completed successfully for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:47 voag uv[798833]: 06:51:47 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | WARNING | analysis.lead_bookings_extractor | No explicit confirmed time found after all extraction attempts for call 799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | WARNING | analysis.schedule_calculator | Callback requested but no callback_time provided - will use Stage 2 grade-based schedule
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | INFO    | db.storage.leads | Assigned lead e2685b7c-d4d5-4bbe-931e-a33966365c4b to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:48 voag uv[798833]: 06:51:48 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=799f2900-1628-4e88-a6d3-8011fbba4281
Feb 14 06:51:58 voag uv[798833]: 06:51:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 9 entries (120s elapsed)
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | INFO    | api.routes.batch | Updated batch entry 5d1a5dfb-ff05-437d-83c3-ed3a39772560 to status=completed
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=870, failed=0, done_entries=870
